Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,529410287,6792.0655050392315,2445233,31.371099351311997,172838,6296771,80.78437868025671,5975,0.07665621992836222,410,
United States of America,Americas,83551386,25241.908,431565,130.381,0,998070,301.529,973,0.294,0
India,South-East Asia,43181335,3129.072,25586,1.854,4518,524701,38.022,90,0.007,9
Brazil,Americas,31060017,14612.393,114633,53.93,0,666801,313.701,410,0.193,0
France,Europe,28733287,44178.306,134916,207.437,20542,145123,223.131,254,0.391,0
Germany,Europe,26496611,31859.636,212350,255.331,3376,139386,167.598,93,0.112,0
The United Kingdom,Europe,22305897,32857.873,14205,20.925,0,178749,263.308,73,0.108,0
Russian Federation,Europe,18355200,12577.701,27363,18.75,3349,379584,260.106,555,0.38,64
Republic of Korea,Western Pacific,18168708,35437.872,82261,160.449,5022,24279,47.356,112,0.218,21
Italy,Europe,17505973,29352.006,117096,196.333,15522,166949,279.921,380,0.637,27
Turkey,Europe,15073722,17872.764,2858,3.389,0,98969,117.347,12,0.014,0
Spain,Europe,12403245,26204.437,2284,4.825,0,106797,225.631,5,0.011,0
Viet Nam,Western Pacific,10725239,11018.487,7988,8.206,685,43080,44.258,2,0.002,0
Argentina,Americas,9230573,20423.531,0,0,0,128889,285.179,0,0,0
Japan,Western Pacific,8945784,7073.082,134170,106.083,32757,30752,24.314,194,0.153,17
Netherlands,Europe,8090237,46475.355,6622,38.041,0,22325,128.249,7,0.04,0
Australia,Western Pacific,7373942,28917.551,160963,631.23,0,8662,33.969,288,1.129,0
Iran (Islamic Republic of),Eastern Mediterranean,7232731,8611.117,1169,1.392,53,141331,168.265,23,0.027,3
Colombia,Americas,6103455,11995.103,0,0,0,139854,274.855,0,0,0
Indonesia,South-East Asia,6057142,2214.486,2509,0.917,342,156622,57.261,36,0.013,7
Poland,Europe,6008665,15829.715,1427,3.759,53,116349,306.519,37,0.097,0
Mexico,Americas,5782405,4484.822,7544,5.851,0,324966,252.043,7,0.005,0
Ukraine,Europe,5014929,11466.952,3496,7.994,3496,108605,248.332,67,0.153,67
Portugal,Europe,4775529,46382.782,103584,1006.069,0,23243,225.75,154,1.496,0
Malaysia,Western Pacific,4514989,13949.79,11255,34.774,1358,35688,110.264,23,0.071,2
Thailand,South-East Asia,4468955,6402.516,22453,32.168,2162,30198,43.264,200,0.287,27
Austria,Europe,4304326,48357.432,19438,218.378,2540,19946,224.086,13,0.146,0
Belgium,Europe,4158754,36092.651,5946,51.604,0,31768,275.705,14,0.122,0
Israel,Europe,4147985,47922.885,10565,122.061,1801,10864,125.515,8,0.092,4
South Africa,Africa,3968205,6690.765,14238,24.007,1127,101317,170.83,171,0.288,4
Czechia,Europe,3921125,36666.798,1412,13.204,29,40293,376.784,7,0.065,2
Canada,Americas,3873060,10261.894,8765,23.223,0,41105,108.91,113,0.299,0
Chile,Americas,3720334,19461.681,27093,141.728,0,57920,302.989,43,0.225,0
Philippines,Western Pacific,3691546,3368.781,1292,1.179,219,60456,55.17,1,0.001,0
Switzerland,Europe,3657550,42261.253,1194,13.796,0,13259,153.201,0,0,0
Peru,Americas,3581524,10862.368,1990,6.035,0,213205,646.627,43,0.13,0
Greece,Europe,3470640,32379.708,24891,232.223,2661,29913,279.077,105,0.98,12
